trial_id,fleet_size_carts,fixed_crowd_humans,success_rate_pct,makespan_s,mean_replan_latency_ms,corridor_mutex_wait_s,v2v_mesh_packets
76,8,10,100.0,31.25,0.515,0.0,51
76,10,10,100.0,29.8,0.609,0.0,78
76,12,10,100.0,50.75,0.526,0.0,221
77,2,10,100.0,19.35,0.447,0.0,0
77,4,10,100.0,21.9,0.712,0.0,34
77,6,10,0.0,65.05,0.375,0.0,30
77,8,10,0.0,65.05,0.485,0.0,19
77,10,10,0.0,65.05,0.677,0.0,445
77,12,10,100.0,27.5,0.55,0.0,99
78,2,10,100.0,27.15,0.731,0.0,3
78,4,10,100.0,22.2,0.573,0.0,9
78,6,10,100.0,37.4,0.666,0.0,31
78,8,10,100.0,23.6,0.593,0.0,60
78,10,10,100.0,41.7,0.787,0.0,88
78,12,10,100.0,35.9,0.594,0.0,74
79,2,10,100.0,35.2,0.968,0.0,7
79,4,10,100.0,34.65,0.57,0.0,82
79,6,10,0.0,65.05,0.744,0.0,143
79,8,10,100.0,49.4,0.832,0.0,104
79,10,10,0.0,65.05,0.714,0.0,267
79,12,10,0.0,65.05,0.385,0.0,82
80,2,10,100.0,18.0,0.289,0.0,7
80,4,10,100.0,58.75,0.721,0.0,44
80,6,10,100.0,34.35,0.594,0.0,65
80,8,10,100.0,40.85,0.706,0.0,38
80,10,10,100.0,22.65,0.54,0.0,63
80,12,10,100.0,40.65,0.491,0.0,94
81,2,10,100.0,31.25,0.881,0.0,7
81,4,10,100.0,51.5,0.563,0.0,89
81,6,10,100.0,54.7,0.584,0.0,26
81,8,10,100.0,22.9,0.632,0.0,25
81,10,10,0.0,65.05,0.601,0.0,80
81,12,10,100.0,46.85,0.81,0.0,159
82,2,10,100.0,18.95,0.633,0.0,3
82,4,10,100.0,39.0,0.484,0.0,31
82,6,10,100.0,35.45,0.495,0.0,65
82,8,10,0.0,65.05,0.34,0.0,43
82,10,10,0.0,65.05,0.76,0.0,181
82,12,10,100.0,29.05,0.494,0.0,133
83,2,10,100.0,35.7,0.697,0.0,2
83,4,10,100.0,21.4,0.584,0.0,21
83,6,10,100.0,37.95,0.474,0.0,45
83,8,10,100.0,28.9,0.556,0.0,63
83,10,10,100.0,22.95,0.42,0.0,50
83,12,10,100.0,39.5,0.597,0.0,123
84,2,10,100.0,18.35,0.594,0.0,7
84,4,10,100.0,22.8,0.647,0.0,23
84,6,10,100.0,31.8,0.547,0.0,67
84,8,10,100.0,35.05,0.599,0.0,71
84,10,10,100.0,45.6,0.741,0.0,188
84,12,10,100.0,29.7,0.464,0.0,163
85,2,10,100.0,15.05,0.547,0.0,2
85,4,10,100.0,25.4,0.596,0.0,24
85,6,10,100.0,47.8,0.732,0.0,53
85,8,10,100.0,36.2,0.63,0.0,36
85,10,10,100.0,31.15,0.568,0.0,44
85,12,10,100.0,62.95,0.56,0.0,182
86,2,10,100.0,53.65,0.869,0.0,6
86,4,10,100.0,19.2,0.45,0.0,12
86,6,10,100.0,26.85,0.596,0.0,80
86,8,10,100.0,59.65,0.645,0.0,74
86,10,10,100.0,24.85,0.403,0.0,84
86,12,10,0.0,65.05,0.621,0.0,101
87,2,10,100.0,19.75,0.817,0.0,8
87,4,10,100.0,27.25,0.623,0.0,28
87,6,10,100.0,42.35,0.689,0.0,54
87,8,10,100.0,28.1,0.513,0.0,26
87,10,10,100.0,19.6,0.682,0.0,52
87,12,10,0.0,65.05,0.804,0.0,654
88,2,10,0.0,65.05,0.459,0.0,4
88,4,10,100.0,39.9,0.503,0.0,14
88,6,10,0.0,65.05,0.347,0.0,59
88,8,10,100.0,25.95,0.517,0.0,63
88,10,10,100.0,31.8,0.736,0.0,36
88,12,10,100.0,35.0,0.419,0.0,129
89,2,10,100.0,14.45,0.551,0.0,11
89,4,10,100.0,20.7,0.583,0.0,24
89,6,10,100.0,29.1,0.609,0.0,34
89,8,10,100.0,23.15,0.58,0.0,30
89,10,10,100.0,46.8,0.482,0.0,43
89,12,10,100.0,34.5,0.378,0.0,174
90,2,10,100.0,22.7,0.302,0.0,6
90,4,10,100.0,29.7,0.634,0.0,49
90,6,10,100.0,26.4,0.498,0.0,24
90,8,10,100.0,31.4,0.512,0.0,43
90,10,10,100.0,31.3,0.61,0.0,52
90,12,10,0.0,65.05,0.366,0.0,101
91,2,10,100.0,29.65,0.495,0.0,4
91,4,10,100.0,33.85,0.654,0.0,23
91,6,10,100.0,18.05,0.511,0.0,29
91,8,10,100.0,31.65,0.533,0.0,24
91,10,10,0.0,65.05,0.6,0.0,75
91,12,10,100.0,28.0,0.562,0.0,149
92,2,10,100.0,30.55,0.589,0.0,8
92,4,10,100.0,37.05,0.665,0.0,48
92,6,10,100.0,20.05,0.361,0.0,49
92,8,10,100.0,31.8,0.512,0.0,87
92,10,10,100.0,62.45,0.865,0.0,625
92,12,10,100.0,20.0,0.45,0.0,47
93,2,10,100.0,17.85,0.47,0.0,2
93,4,10,100.0,19.2,0.317,0.0,7
93,6,10,100.0,38.55,0.357,0.0,24
93,8,10,100.0,24.75,0.679,0.0,74
93,10,10,100.0,36.4,0.589,0.0,98
93,12,10,0.0,65.05,0.315,0.0,74
94,2,10,100.0,15.6,0.329,0.0,3
94,4,10,100.0,53.6,0.339,0.0,20
94,6,10,100.0,38.65,0.722,0.0,127
